my,week,value_x,value_y
,,mean,mean
01/2011,Week1,89.52800000000003,3.1644
01/2011,Week2,91.07320000000001,3.1644
01/2011,Week3,90.43399999999998,3.1643999999999997
01/2011,Week4,88.09333333333335,3.1644
01/2012,Week1,102.38749999999997,3.4476000000000004
01/2012,Week2,100.44399999999992,3.4476000000000004
01/2012,Week3,100.059,3.4476000000000004
01/2012,Week4,99.20714285714291,3.4476000000000004
01/2013,Week1,93.08000000000001,3.39925
01/2013,Week2,93.554,3.39925
01/2013,Week3,94.78149999999998,3.39925
01/2013,Week4,96.63650000000001,3.3992499999999994
01/2014,Week1,94.12500000000003,3.422249999999999
01/2014,Week2,92.21999999999997,3.422249999999999
01/2014,Week3,94.42449999999997,3.422249999999999
01/2014,Week4,97.1125,3.4222499999999987
01/2015,Week1,49.82749999999999,2.2475
01/2015,Week2,47.537200000000006,2.2475
01/2015,Week3,47.40749999999999,2.2475
01/2015,Week4,45.78571428571429,2.247500000000001
01/2016,Week1,34.9925,2.08375
01/2016,Week2,31.37439999999999,2.08375
01/2016,Week3,29.113499999999995,2.08375
01/2016,Week4,32.186666666666675,2.08375
01/2017,Week1,53.334999999999994,2.5308
01/2017,Week2,52.08199999999998,2.5308
01/2017,Week3,52.230000000000004,2.5308
01/2017,Week4,53.01000000000002,2.5307999999999997
01/2018,Week1,61.36250000000001,2.7388
01/2018,Week2,63.27199999999999,2.7388
01/2018,Week3,63.737500000000026,2.7388
01/2018,Week4,65.00925000000001,2.7388000000000003
01/2019,Week1,47.5275,2.498
01/2019,Week2,51.36600000000002,2.498
01/2019,Week3,52.652499999999996,2.498
01/2019,Week4,53.210249999999995,2.498
01/2020,Week1,62.55000000000001,2.8007500000000007
01/2020,Week2,58.90400000000001,2.8007500000000007
01/2020,Week3,58.31899999999998,2.8007500000000007
01/2020,Week4,53.77125,2.80075
02/2011,Week1,89.47749999999999,3.2754999999999996
02/2011,Week2,86.15399999999997,3.2754999999999996
02/2011,Week3,86.3845,3.2754999999999996
02/2011,Week4,97.05600000000001,3.2754999999999996
02/2012,Week1,97.38000000000002,3.63925
02/2012,Week2,99.77400000000003,3.6392500000000005
02/2012,Week3,103.48350000000002,3.63925
02/2012,Week4,107.67666666666669,3.639250000000001
02/2013,Week1,96.31499999999997,3.73475
